Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,Weekday,VarPercentage
2010-09-02,132.17,135.21,132.05,135.21,5407400.0,0.0,1.0,132.17,135.21,132.05,135.21,5407400.0,3,2.3930329419898726
2010-09-03,136.89,139.5,136.625,138.79,6581200.0,0.0,1.0,136.89,139.5,136.625,138.79,6581200.0,4,2.104300091416576
2010-09-07,137.56,138.6,136.89,137.22,3883000.0,0.0,1.0,137.56,138.6,136.89,137.22,3883000.0,1,1.2491781721811606
2010-09-08,137.93,139.7,136.45,139.14,5828500.0,0.0,1.0,137.93,139.7,136.45,139.14,5828500.0,2,2.3818248441902767
2010-09-09,140.3872,141.37,139.26,140.38,4958000.0,0.0,1.0,140.3872,141.37,139.26,140.38,4958000.0,3,1.5151515150786423
2010-09-10,140.75,142.6001,140.04,142.44,5043600.0,0.0,1.0,140.75,142.6001,140.04,142.44,5043600.0,4,1.8281205369167282
2010-09-13,144.07,145.74,143.76,145.07,5077400.0,0.0,1.0,144.07,145.74,143.76,145.07,5077400.0,0,1.377295492416991
2010-09-14,144.5,146.7,143.832,145.75,4319400.0,0.0,1.0,144.5,146.7,143.832,145.75,4319400.0,1,1.99399299175289
2010-09-15,144.88,145.62,143.56,145.45,4903600.0,0.0,1.0,144.88,145.62,143.56,145.45,4903600.0,2,1.4349400946632755
2010-09-16,145.4,148.23,145.16,148.13,5827000.0,0.0,1.0,145.4,148.23,145.16,148.13,5827000.0,3,2.1149076879979987
2010-09-17,148.9,148.98,146.5,148.325,7259600.0,0.0,1.0,148.9,148.98,146.5,148.325,7259600.0,4,1.6928327644357068
2010-09-20,148.7,151.95,147.35,151.3048,6449400.0,0.0,1.0,148.7,151.95,147.35,151.3048,6449400.0,0,3.121818798708432
2010-09-21,150.76,153.31,149.6,150.73,7542000.0,0.0,1.0,150.76,153.31,149.6,150.73,7542000.0,1,2.479946523995679
2010-09-22,149.84,152.7,149.1,151.83,6612400.0,0.0,1.0,149.84,152.7,149.1,151.83,6612400.0,2,2.414486921460494
2010-09-23,151.2,155.92,150.97,152.85,7065600.0,0.0,1.0,151.2,155.92,150.97,152.85,7065600.0,3,3.278797111940591
2010-09-24,155.43,160.89,155.42,160.73,10590600.0,0.0,1.0,155.43,160.89,155.42,160.73,10590600.0,4,3.519495560350336
2010-09-27,160.22,161.2,157.88,159.37,6446300.0,0.0,1.0,160.22,161.2,157.88,159.37,6446300.0,0,2.1028629338091633
2010-09-28,159.84,160.88,154.89,159.7,8494200.0,0.0,1.0,159.84,160.88,154.89,159.7,8494200.0,1,3.8672606365137483
2010-09-29,159.03,161.78,157.75,158.99,7287500.0,0.0,1.0,159.03,161.78,157.75,158.99,7287500.0,2,2.554675118793952
2010-09-30,160.01,160.93,155.6,157.06,7606000.0,0.0,1.0,160.01,160.93,155.6,157.06,7606000.0,3,3.4254498713988397
2010-10-01,157.06,157.44,152.2,153.71,8683400.0,0.0,1.0,157.06,157.44,152.2,153.71,8683400.0,4,3.4428383704970997
2010-10-04,153.95,155.96,152.79,155.39,5346500.0,0.0,1.0,153.95,155.96,152.79,155.39,5346500.0,0,2.0747431113933885
2010-10-05,157.08,161.21,157.01,160.87,5620000.0,0.0,1.0,157.08,161.21,157.01,160.87,5620000.0,1,2.674988854147742
